policy,attacker,cadence,data_selection,mode,n_seeds,oscillation_index_mean,oscillation_index_std,mean_attack_success_tail_mean,mean_attack_success_tail_std,final_attack_success_rate_mean,final_attack_success_rate_std,mean_evasion_tail_mean,mean_evasion_tail_std,final_evasion_rate_mean,final_evasion_rate_std,max_evasion_rate_mean,max_evasion_rate_std,rounds_to_convergence_mean,rounds_to_convergence_std,total_retrain_seconds_mean,total_retrain_seconds_std,retrain_count_mean,retrain_count_std,mean_evasion_tail,total_retrain_seconds
random__every_round__bounded_buffer,random,every_round,bounded_buffer,scratch,5,0.010873585050491645,0.003894602152659802,0.041943272287984154,0.001564551222974969,0.030000000000000006,0.0042163702135578395,0.042499999999999996,0.0019184774055368919,0.030000000000000006,0.0042163702135578395,0.8233333333333333,0.01932183566158594,5.6,0.48989794855663565,375.91131885998766,48.24958864412504,8.0,0.0,0.042499999999999996,375.91131885998766
random__every_round__hard_mining,random,every_round,hard_mining,scratch,5,0.010249549711933773,0.004210048512829287,0.042597538074419836,0.003013789237512185,0.032,0.0053124591501697415,0.04283333333333333,0.003077697552103229,0.032,0.0053124591501697415,0.8233333333333333,0.01932183566158594,5.6,0.48989794855663565,386.62090412001123,50.71864180785414,8.0,0.0,0.04283333333333333,386.62090412001123
