policy,attacker,cadence,data_selection,mode,n_seeds,oscillation_index_mean,oscillation_index_std,mean_attack_success_tail_mean,mean_attack_success_tail_std,final_attack_success_rate_mean,final_attack_success_rate_std,mean_evasion_tail_mean,mean_evasion_tail_std,final_evasion_rate_mean,final_evasion_rate_std,max_evasion_rate_mean,max_evasion_rate_std,rounds_to_convergence_mean,rounds_to_convergence_std,total_retrain_seconds_mean,total_retrain_seconds_std,total_trees_fitted_mean,total_trees_fitted_std,retrain_count_mean,retrain_count_std,mean_evasion_tail,total_retrain_seconds
random__every_round__full_replay__finetune,random,every_round,full_replay,finetune,3,0.00988880070247162,0.006482779919263916,0.6748913103153594,0.304794509600957,0.6765637570031617,0.2891777602520595,0.7027777777777778,0.302454720618957,0.7072222222222222,0.2889390982008766,0.8911111111111111,0.07704415921493207,6.666666666666667,0.4714045207910317,93.65777500000938,11.335608485212113,640.0,0.0,8.0,0.0,0.7027777777777778,93.65777500000938
random__every_round__hard_mining__finetune,random,every_round,hard_mining,finetune,3,0.04418414581682419,0.024827313944462005,0.6356416899180798,0.30763206573470075,0.6919875543440338,0.32987319651090274,0.6916666666666668,0.3132215743361712,0.7394444444444445,0.3284822937145176,0.9194444444444444,0.08417720872739724,7.0,0.0,97.2269871000123,12.663800695026048,640.0,0.0,8.0,0.0,0.6916666666666668,97.2269871000123
random__every_round__bounded_buffer__finetune,random,every_round,bounded_buffer,finetune,3,0.05401336619755953,0.029507504911164675,0.8769261908739364,0.042392631064264275,0.913712072227411,0.06768725343014677,0.9031944444444444,0.038430332188243786,0.9311111111111111,0.05579946457550988,0.9411111111111111,0.044249572781644174,7.0,0.0,94.06489826665104,9.861007212713076,640.0,0.0,8.0,0.0,0.9031944444444444,94.06489826665104
random__every_n__full_replay__finetune,random,every_n,full_replay,finetune,3,0.08016536371878359,0.04015978637040558,0.42617343962310256,0.05206376039443413,0.25268385786791353,0.11588071184021735,0.4709722222222223,0.0611524481405303,0.3327777777777778,0.11851967592027458,0.8122222222222222,0.014927809825049368,4.0,0.0,57.991615333342146,7.218250036122943,240.0,0.0,3.0,0.0,0.4709722222222223,57.991615333342146
random__every_n__hard_mining__finetune,random,every_n,hard_mining,finetune,3,0.02673250690243682,0.029137134583692423,0.6593777112659308,0.027360679958067357,0.6964495837723774,0.027592269958112745,0.7045833333333335,0.03079013490401439,0.7461111111111111,0.02510471895043337,0.8122222222222222,0.014927809825049368,6.0,1.4142135623730951,53.79247853332587,16.311028134107247,240.0,0.0,3.0,0.0,0.7045833333333335,53.79247853332587
random__every_n__bounded_buffer__finetune,random,every_n,bounded_buffer,finetune,3,0.07598198990266021,0.05450111438944435,0.6930591027951681,0.0763823585447246,0.7816605753684748,0.055745224511852556,0.7441666666666666,0.09158898223403657,0.8649999999999999,0.08576453553512407,0.8794444444444444,0.06849348892187755,5.5,1.5,47.51645453331488,7.647781358718333,240.0,0.0,3.0,0.0,0.7441666666666666,47.51645453331488
random__threshold__full_replay__finetune,random,threshold,full_replay,finetune,3,0.00988880070247162,0.006482779919263916,0.6748913103153594,0.304794509600957,0.6765637570031617,0.2891777602520595,0.7027777777777778,0.302454720618957,0.7072222222222222,0.2889390982008766,0.8911111111111111,0.07704415921493207,6.666666666666667,0.4714045207910317,71.9750093666468,9.579718926669582,640.0,0.0,8.0,0.0,0.7027777777777778,71.9750093666468
random__threshold__hard_mining__finetune,random,threshold,hard_mining,finetune,3,0.04418414581682419,0.024827313944462005,0.6356416899180798,0.30763206573470075,0.6919875543440338,0.32987319651090274,0.6916666666666668,0.3132215743361712,0.7394444444444445,0.3284822937145176,0.9194444444444444,0.08417720872739724,7.0,0.0,91.1939758999797,22.696108988567126,640.0,0.0,8.0,0.0,0.6916666666666668,91.1939758999797
random__threshold__bounded_buffer__finetune,random,threshold,bounded_buffer,finetune,3,0.05401336619755953,0.029507504911164675,0.8769261908739364,0.042392631064264275,0.913712072227411,0.06768725343014677,0.9031944444444444,0.038430332188243786,0.9311111111111111,0.05579946457550988,0.9411111111111111,0.044249572781644174,7.0,0.0,75.91095180001382,8.565382715240547,640.0,0.0,8.0,0.0,0.9031944444444444,75.91095180001382
