policy,seed,attacker,cadence,data_selection,mode,oscillation_index,mean_attack_success_tail,final_attack_success_rate,mean_evasion_tail,final_evasion_rate,max_evasion_rate,rounds_to_convergence,total_retrain_seconds,retrain_count
random__minimax__full_replay,0,random,minimax,full_replay,scratch,0.05531946362317295,0.09384390651085142,0.041736227045075125,0.09458333333333334,0.043333333333333335,0.8016666666666666,nan,129.29571820001001,4.0
random__minimax__full_replay,1,random,minimax,full_replay,scratch,0.03400112334745557,0.09125,0.051666666666666666,0.09125,0.051666666666666666,0.8333333333333334,6.0,138.073987700016,4.0
random__minimax__full_replay,2,random,minimax,full_replay,scratch,0.04815159798894414,0.08541666666666667,0.03666666666666667,0.08541666666666667,0.03666666666666667,0.8016666666666666,nan,177.9647158999869,4.0
random__minimax__full_replay,3,random,minimax,full_replay,scratch,0.04004337925577988,0.08339385086254869,0.041666666666666664,0.08416666666666668,0.041666666666666664,0.8516666666666667,nan,171.56070940000063,4.0
random__minimax__full_replay,4,random,minimax,full_replay,scratch,0.034888214342382165,0.08375,0.06,0.08375,0.06,0.8283333333333334,nan,179.84733610000694,4.0
