policy,attacker,cadence,data_selection,n_seeds,oscillation_index_mean,oscillation_index_std,mean_attack_success_tail_mean,mean_attack_success_tail_std,final_attack_success_rate_mean,final_attack_success_rate_std,mean_evasion_tail_mean,mean_evasion_tail_std,final_evasion_rate_mean,final_evasion_rate_std,max_evasion_rate_mean,max_evasion_rate_std,rounds_to_convergence_mean,rounds_to_convergence_std,total_retrain_seconds_mean,total_retrain_seconds_std,retrain_count_mean,retrain_count_std,mean_evasion_tail,total_retrain_seconds
random__every_round__full_replay,random,every_round,full_replay,5,0.010580107279259216,0.004898860067338739,0.04200556483027268,0.0023913670158964796,0.031,0.006548960901462833,0.042083333333333334,0.002386303510546061,0.031,0.006548960901462833,0.8233333333333333,0.01932183566158594,5.8,0.39999999999999997,137.54098403999524,31.195074159422774,8.0,0.0,0.042083333333333334,137.54098403999524
random__every_round__hard_mining,random,every_round,hard_mining,5,0.04052965743300448,0.01037924914469962,0.3561446423363738,0.05218157351870184,0.3501860279247745,0.061717625811003686,0.3760833333333333,0.05160722386987655,0.36933333333333335,0.055192592095517884,0.8233333333333333,0.01932183566158594,6.0,0.816496580927726,128.57908372000384,31.653572590310016,8.0,0.0,0.3760833333333333,128.57908372000384
random__every_round__bounded_buffer,random,every_round,bounded_buffer,5,0.02451980283864178,0.00935941842202702,0.2938004085174115,0.021510634987777826,0.2761885755050218,0.030055328720229608,0.31100000000000005,0.021632344610174232,0.29566666666666663,0.025201410895247734,0.8233333333333333,0.01932183566158594,5.0,0.0,151.18950090001164,36.59691393721443,8.0,0.0,0.31100000000000005,151.18950090001164
random__every_n__full_replay,random,every_n,full_replay,5,0.014181849731332496,0.003187453594976184,0.0491801613800779,0.003364546458826904,0.02733333333333333,0.004666666666666667,0.049416666666666664,0.0034013886053264274,0.02733333333333333,0.004666666666666667,0.8233333333333333,0.01932183566158594,7.0,0.0,51.74741997999954,7.695836390709995,3.0,0.0,0.049416666666666664,51.74741997999954
random__every_n__hard_mining,random,every_n,hard_mining,5,0.056429257526809704,0.026610148554341073,0.34182505688108233,0.03053938538306579,0.4523688180352427,0.04540544188717336,0.36833333333333335,0.030242078852706765,0.46399999999999997,0.04509988913511874,0.8233333333333333,0.01932183566158594,4.0,0.0,47.081281559995844,10.849811779323105,3.0,0.0,0.36833333333333335,47.081281559995844
random__every_n__bounded_buffer,random,every_n,bounded_buffer,5,0.014876426274035634,0.008608635663091384,0.28058946661832557,0.03173828107787768,0.28594222505960215,0.030909938591776747,0.3001666666666667,0.02989518727524921,0.304,0.031030450993965404,0.8233333333333333,0.01932183566158594,6.4,1.2,45.73060510000214,6.665579800014993,3.0,0.0,0.3001666666666667,45.73060510000214
random__threshold__full_replay,random,threshold,full_replay,5,0.008170221798020131,0.002760883150580034,0.07466666666666666,0.004077376607575025,0.07633333333333334,0.007333333333333334,0.07466666666666666,0.004077376607575025,0.07633333333333334,0.007333333333333334,0.8233333333333333,0.01932183566158594,5.0,0.0,50.373210160000596,14.148417838442652,3.0,0.0,0.07466666666666666,50.373210160000596
random__threshold__hard_mining,random,threshold,hard_mining,5,0.04052965743300448,0.01037924914469962,0.3561446423363738,0.05218157351870184,0.3501860279247745,0.061717625811003686,0.3760833333333333,0.05160722386987655,0.36933333333333335,0.055192592095517884,0.8233333333333333,0.01932183566158594,6.0,0.816496580927726,125.12530183999915,31.98342817538812,8.0,0.0,0.3760833333333333,125.12530183999915
random__threshold__bounded_buffer,random,threshold,bounded_buffer,5,0.02451980283864178,0.00935941842202702,0.2938004085174115,0.021510634987777826,0.2761885755050218,0.030055328720229608,0.31100000000000005,0.021632344610174232,0.29566666666666663,0.025201410895247734,0.8233333333333333,0.01932183566158594,5.0,0.0,125.49410196000244,30.70153921446076,8.0,0.0,0.31100000000000005,125.49410196000244
