policy,seed,attacker,cadence,data_selection,oscillation_index,mean_attack_success_tail,final_attack_success_rate,mean_evasion_tail,final_evasion_rate,max_evasion_rate,rounds_to_convergence,total_retrain_seconds,retrain_count
random__threshold__full_replay,3,random,threshold,full_replay,0.006291528696058958,0.07583333333333334,0.07333333333333333,0.07583333333333334,0.07333333333333333,0.8516666666666667,5.0,43.89014220000536,3.0
random__threshold__hard_mining,3,random,threshold,hard_mining,0.05630398643869622,0.40222329176161986,0.3587521663778163,0.4191666666666667,0.38333333333333336,0.8516666666666667,nan,109.45062509998388,8.0
random__threshold__bounded_buffer,3,random,threshold,bounded_buffer,0.02446653042650533,0.3183023893269352,0.2651646447140381,0.3350000000000001,0.29333333333333333,0.8516666666666667,5.0,109.68709140000283,8.0
random__every_round__full_replay,4,random,every_round,full_replay,0.00692218655243173,0.04583333333333334,0.03833333333333333,0.04583333333333334,0.03833333333333333,0.8283333333333334,6.0,123.62862309999764,8.0
random__every_round__hard_mining,4,random,every_round,hard_mining,0.04738106454880237,0.3857336559940637,0.29842931937172773,0.40708333333333335,0.33,0.8283333333333334,nan,110.572750500025,8.0
random__every_round__bounded_buffer,4,random,every_round,bounded_buffer,0.02148562180725622,0.32153285341853827,0.3112244897959184,0.33958333333333335,0.325,0.8283333333333334,5.0,181.76306870000553,8.0
random__every_n__full_replay,4,random,every_n,full_replay,0.011865859054915119,0.04923414023372287,0.035,0.05041666666666667,0.035,0.8283333333333334,7.0,49.0516978000087,3.0
random__every_n__hard_mining,4,random,every_n,hard_mining,0.027572505427609494,0.33556576330553,0.3983050847457627,0.36291666666666667,0.4083333333333333,0.8283333333333334,4.0,44.87252589999116,3.0
random__every_n__bounded_buffer,4,random,every_n,bounded_buffer,0.023932050801290627,0.2566408209939207,0.30272108843537415,0.27625,0.31666666666666665,0.8283333333333334,7.0,41.821416500009946,3.0
random__threshold__full_replay,4,random,threshold,full_replay,0.010172129679778085,0.07083333333333333,0.08833333333333333,0.07083333333333333,0.08833333333333333,0.8283333333333334,5.0,42.98302720001084,3.0
random__threshold__hard_mining,4,random,threshold,hard_mining,0.04738106454880237,0.3857336559940637,0.29842931937172773,0.40708333333333335,0.33,0.8283333333333334,nan,111.22818980002194,8.0
random__threshold__bounded_buffer,4,random,threshold,bounded_buffer,0.02148562180725622,0.32153285341853827,0.3112244897959184,0.33958333333333335,0.325,0.8283333333333334,5.0,113.59951840000576,8.0
