policy,seed,attacker,cadence,data_selection,mode,oscillation_index,mean_attack_success_tail,final_attack_success_rate,mean_evasion_tail,final_evasion_rate,max_evasion_rate,rounds_to_convergence,total_retrain_seconds,retrain_count
random__every_n__hard_mining__finetune,3,random,every_n,hard_mining,finetune,0.059387791019890813,0.6762039053296683,0.7782101167315175,0.7087500000000001,0.81,0.8516666666666667,nan,72.82671969999501,3.0
random__every_n__bounded_buffer__finetune,3,random,every_n,bounded_buffer,finetune,0.09293441534520755,0.5831991411701556,0.722567287784679,0.6158333333333333,0.7766666666666666,0.8516666666666667,4.0,80.90367879997939,3.0
random__threshold__full_replay__finetune,3,random,threshold,full_replay,finetune,0.14169117435072973,0.5579916699794009,0.29539951573849876,0.76,0.515,0.8533333333333334,nan,107.25451910000993,8.0
random__threshold__hard_mining__finetune,3,random,threshold,hard_mining,finetune,0.003796013991310127,0.12308347529812606,0.12947189097103917,0.14208333333333334,0.14833333333333334,0.87,7.0,113.66554289999476,8.0
random__threshold__bounded_buffer__finetune,3,random,threshold,bounded_buffer,finetune,0.01309023172700419,0.43772727272727274,0.4254545454545455,0.48458333333333337,0.47333333333333333,0.8516666666666667,7.0,118.29741880000802,8.0
random__every_round__full_replay__finetune,4,random,every_round,full_replay,finetune,0.09866821507794021,0.6624840686377947,0.5972762645914397,0.7141666666666666,0.655,0.885,nan,99.20058180000342,8.0
random__every_round__hard_mining__finetune,4,random,every_round,hard_mining,finetune,0.029790938219532496,0.8080646894476682,0.8489361702127659,0.845,0.8816666666666667,0.8816666666666667,5.0,119.84767119999742,8.0
random__every_round__bounded_buffer__finetune,4,random,every_round,bounded_buffer,finetune,0.11740835669671142,0.8659094656992085,0.9393139841688655,0.8916666666666666,0.9616666666666667,0.9616666666666667,nan,132.12263169999642,8.0
random__every_n__full_replay__finetune,4,random,every_n,full_replay,finetune,0.027701283564324438,0.5050615131260292,0.43243243243243246,0.5491666666666666,0.51,0.8283333333333334,4.0,59.72192929999437,3.0
random__every_n__hard_mining__finetune,4,random,every_n,hard_mining,finetune,0.05903594714710315,0.7087131295205829,0.8033126293995859,0.7429166666666667,0.8416666666666667,0.8416666666666667,4.0,80.01623269998527,3.0
random__every_n__bounded_buffer__finetune,4,random,every_n,bounded_buffer,finetune,0.006052432935972476,0.8219470924074505,0.7928388746803069,0.8620833333333333,0.865,0.8666666666666667,7.0,49.40978779998841,3.0
random__threshold__full_replay__finetune,4,random,threshold,full_replay,finetune,0.09866821507794021,0.6624840686377947,0.5972762645914397,0.7141666666666666,0.655,0.885,nan,90.75818539998727,8.0
random__threshold__hard_mining__finetune,4,random,threshold,hard_mining,finetune,0.029790938219532496,0.8080646894476682,0.8489361702127659,0.845,0.8816666666666667,0.8816666666666667,5.0,100.05877339998551,8.0
random__threshold__bounded_buffer__finetune,4,random,threshold,bounded_buffer,finetune,0.11740835669671142,0.8659094656992085,0.9393139841688655,0.8916666666666666,0.9616666666666667,0.9616666666666667,nan,112.25348499999382,8.0
