policy,attacker,cadence,data_selection,mode,n_seeds,oscillation_index_mean,oscillation_index_std,mean_attack_success_tail_mean,mean_attack_success_tail_std,final_attack_success_rate_mean,final_attack_success_rate_std,mean_evasion_tail_mean,mean_evasion_tail_std,final_evasion_rate_mean,final_evasion_rate_std,max_evasion_rate_mean,max_evasion_rate_std,rounds_to_convergence_mean,rounds_to_convergence_std,total_retrain_seconds_mean,total_retrain_seconds_std,retrain_count_mean,retrain_count_std,mean_evasion_tail,total_retrain_seconds
random__every_round__full_replay__finetune,random,every_round,full_replay,finetune,5,0.05400515830721696,0.05594365805176164,0.6490299339126547,0.24048887328031363,0.5844734102678848,0.2683433831999143,0.7164999999999999,0.23532920204116894,0.6583333333333334,0.23587426028854158,0.8823333333333334,0.061460014101310884,6.666666666666667,0.4714045207910317,128.98177342001,75.16622426099946,8.0,0.0,0.7164999999999999,128.98177342001
random__every_round__hard_mining__finetune,random,every_round,hard_mining,finetune,5,0.03322787793226304,0.024848956278254983,0.5676146469000067,0.33263183396568013,0.6108741448431813,0.35626080078722333,0.6124166666666667,0.34306658326854794,0.6496666666666667,0.361397595761541,0.9019999999999999,0.06871357620991325,6.333333333333333,0.9428090415820634,155.65483559998975,92.02940607287128,8.0,0.0,0.6124166666666667,155.65483559998975
random__every_round__bounded_buffer__finetune,random,every_round,bounded_buffer,finetune,5,0.05850773740327884,0.040508540904001814,0.7868830622096581,0.17769053905155943,0.8211809492611287,0.2049319494803863,0.8171666666666667,0.1689940416438139,0.8456666666666667,0.1914842610300445,0.9273333333333333,0.05166774192429504,7.0,0.0,148.7937463399925,69.46857479710579,8.0,0.0,0.8171666666666667,148.7937463399925
random__every_n__full_replay__finetune,random,every_n,full_replay,finetune,5,0.0588835191849858,0.04058669461168917,0.4574839428909966,0.0556511656425937,0.3245309097343664,0.12569808581452227,0.5034166666666666,0.061855791069946604,0.4040000000000001,0.1266385933802699,0.8233333333333333,0.01932183566158594,4.0,0.0,76.97911971999856,27.57374328647107,3.0,0.0,0.5034166666666666,76.97911971999856
random__every_n__hard_mining__finetune,random,every_n,hard_mining,finetune,5,0.03972425177486088,0.027614744226685143,0.6726100337296087,0.028591792302762674,0.7341742994896471,0.051522275716558735,0.7130833333333335,0.028176773334708742,0.778,0.044763576463211475,0.826,0.020698899595013386,5.5,1.5,80.69132219999156,29.927665209630113,3.0,0.0,0.7130833333333335,80.69132219999156
random__every_n__bounded_buffer__finetune,random,every_n,bounded_buffer,finetune,5,0.06538656359783213,0.05201408805720049,0.696864708392622,0.09603302135754424,0.772077577714082,0.04996076852966968,0.7420833333333332,0.10537334419418729,0.8473333333333333,0.07524478571819965,0.8713333333333333,0.05418486873657628,5.5,1.5,70.14594081998511,22.059574718372886,3.0,0.0,0.7420833333333332,70.14594081998511
random__threshold__full_replay__finetune,random,threshold,full_replay,finetune,5,0.05400515830721696,0.05594365805176164,0.6490299339126547,0.24048887328031363,0.5844734102678848,0.2683433831999143,0.7164999999999999,0.23532920204116894,0.6583333333333334,0.23587426028854158,0.8823333333333334,0.061460014101310884,6.666666666666667,0.4714045207910317,119.8152460999816,50.73659597278656,8.0,0.0,0.7164999999999999,119.8152460999816
random__threshold__hard_mining__finetune,random,threshold,hard_mining,finetune,5,0.03322787793226304,0.024848956278254983,0.5676146469000067,0.33263183396568013,0.6108741448431813,0.35626080078722333,0.6124166666666667,0.34306658326854794,0.6496666666666667,0.361397595761541,0.9019999999999999,0.06871357620991325,6.333333333333333,0.9428090415820634,159.0122507400054,110.32714360550635,8.0,0.0,0.6124166666666667,159.0122507400054
random__threshold__bounded_buffer__finetune,random,threshold,bounded_buffer,finetune,5,0.05850773740327884,0.040508540904001814,0.7868830622096581,0.17769053905155943,0.8211809492611287,0.2049319494803863,0.8171666666666667,0.1689940416438139,0.8456666666666667,0.1914842610300445,0.9273333333333333,0.05166774192429504,7.0,0.0,140.37241580000847,65.0169451753302,8.0,0.0,0.8171666666666667,140.37241580000847
