policy,seed,attacker,cadence,data_selection,mode,oscillation_index,mean_attack_success_tail,final_attack_success_rate,mean_evasion_tail,final_evasion_rate,max_evasion_rate,rounds_to_convergence,total_retrain_seconds,total_trees_fitted,retrain_count
random__every_round__full_replay__finetune,0,random,every_round,full_replay,finetune,0.25263713272861005,0.2566324022669442,0.08333333333333333,0.34625,0.19333333333333333,0.8016666666666666,nan,285.33015999995405,3200.0,8.0
random__every_round__hard_mining__finetune,0,random,every_round,hard_mining,finetune,0.02432419919887737,0.13177613000467767,0.14334470989761092,0.14833333333333332,0.16333333333333333,0.9833333333333333,6.0,215.86505669998587,3200.0,8.0
random__every_round__bounded_buffer__finetune,0,random,every_round,bounded_buffer,finetune,0.005448623679425825,0.9162707838479809,0.9239904988123515,0.94125,0.9466666666666667,0.9466666666666667,6.0,243.61663420000696,3200.0,8.0
random__every_round__full_replay__finetune,1,random,every_round,full_replay,finetune,0.0274715762197949,0.6450888738637217,0.5860566448801743,0.7220833333333334,0.6833333333333333,0.8333333333333334,5.0,191.92918720006128,3200.0,8.0
random__every_round__hard_mining__finetune,1,random,every_round,hard_mining,finetune,0.0014433756729740495,0.9117647058823529,0.8823529411764706,0.9974999999999999,0.9966666666666667,1.0,5.0,227.27458579998347,3200.0,8.0
random__every_round__bounded_buffer__finetune,1,random,every_round,bounded_buffer,finetune,0.006495190528383305,0.9255725190839694,0.9414758269720102,0.9512499999999999,0.9616666666666667,0.9616666666666667,5.0,213.98231900000246,3200.0,8.0
random__every_round__full_replay__finetune,2,random,every_round,full_replay,finetune,0.01029933924525688,0.6479797979797981,0.6282828282828283,0.7095833333333333,0.6933333333333334,0.8016666666666666,5.0,203.50232120000874,3200.0,8.0
random__every_round__hard_mining__finetune,2,random,every_round,hard_mining,finetune,0.050323605572114724,0.5428364527629232,0.5606060606060606,0.5904166666666666,0.6133333333333333,0.8016666666666666,nan,204.86508850002429,3200.0,8.0
random__every_round__bounded_buffer__finetune,2,random,every_round,bounded_buffer,finetune,0.0013819269959814066,0.6785714285714286,0.6190476190476191,0.98875,0.9866666666666667,0.99,5.0,169.77842229997623,3200.0,8.0
