policy,attacker,cadence,data_selection,mode,n_seeds,oscillation_index_mean,oscillation_index_std,mean_attack_success_tail_mean,mean_attack_success_tail_std,final_attack_success_rate_mean,final_attack_success_rate_std,mean_evasion_tail_mean,mean_evasion_tail_std,final_evasion_rate_mean,final_evasion_rate_std,max_evasion_rate_mean,max_evasion_rate_std,rounds_to_convergence_mean,rounds_to_convergence_std,total_retrain_seconds_mean,total_retrain_seconds_std,total_trees_fitted_mean,total_trees_fitted_std,retrain_count_mean,retrain_count_std,mean_evasion_tail,total_retrain_seconds
random__every_round__full_replay__finetune,random,every_round,full_replay,finetune,3,0.09680268273122061,0.11041438096301608,0.516567024703488,0.18380532331152735,0.4325576021654453,0.24753983530896068,0.5926388888888888,0.17429797460273969,0.5233333333333333,0.2333809475228573,0.8122222222222222,0.014927809825049368,5.0,0.0,226.92055613334136,41.57118974751743,3200.0,0.0,8.0,0.0,0.5926388888888888,226.92055613334136
random__every_round__hard_mining__finetune,random,every_round,hard_mining,finetune,3,0.025363726814655384,0.019968803703046167,0.5287924295499846,0.3185838147865489,0.5287679038933807,0.30253764795104204,0.57875,0.3467689819632832,0.5911111111111111,0.3405696027554245,0.9283333333333333,0.08982493261070959,5.5,0.5,216.00157699999787,9.149148253743114,3200.0,0.0,8.0,0.0,0.57875,216.00157699999787
random__every_round__bounded_buffer__finetune,random,every_round,bounded_buffer,finetune,3,0.004441913734596846,0.002205518030261214,0.8401382438344597,0.11430808491464024,0.8281713149439937,0.14804498035897115,0.9604166666666667,0.02044640691064217,0.965,0.016499158227686123,0.9661111111111111,0.01796773514310692,5.333333333333333,0.4714045207910317,209.12579183332855,30.339300983366346,3200.0,0.0,8.0,0.0,0.9604166666666667,209.12579183332855
